product_id,age_group,rank
P00222,10대,2
P00223,30대,17
P00223,40대이상,18
P00214,10대,15
P00214,20대,15
P00225,10대,5
P00225,20대,8
P00225,30대,16
P00017,10대,14
P00017,20대,12
P00017,30대,5
P00017,40대이상,7
P00226,10대,4
P00227,10대,7
P00227,20대,9
P00227,30대,7
P00227,40대이상,10
P00084,10대,6
P00084,20대,4
P00084,30대,6
P00084,40대이상,9
P00230,10대,18
P00230,20대,18
P00230,30대,14
P00230,40대이상,13
P00232,10대,11
P00232,20대,11
P00232,30대,11
P00232,40대이상,12
P00072,20대,20
P00003,10대,10
P00003,20대,6
P00003,30대,3
P00003,40대이상,4
P00143,10대,19
P00234,40대이상,20
P00235,40대이상,19
P00236,40대이상,16
P00237,10대,1
P00237,20대,2
P00237,30대,2
P00237,40대이상,3
P00238,20대,19
P00238,30대,19
P00172,10대,16
P00242,30대,9
P00242,40대이상,5
P00016,10대,20
P00020,20대,16
P00020,30대,15
P00256,10대,9
P00256,20대,7
P00256,30대,1
P00256,40대이상,2
P00079,30대,4
P00079,40대이상,6
P00054,10대,3
P00054,20대,13
P00054,30대,18
P00075,10대,17
P00075,20대,10
P00075,30대,8
P00075,40대이상,1
P00283,30대,20
P00283,40대이상,8
P00286,10대,13
P00286,20대,17
P00286,30대,13
P00286,40대이상,11
P00082,10대,12
P00123,10대,8
P00123,20대,5
P00123,30대,12
P00249,20대,1
P00159,20대,3
P00195,40대이상,17
P00129,40대이상,14
P00354,20대,14
P00354,30대,10
P00354,40대이상,15
