product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00001,마녀공장,Manyo,퓨어 소이빈 클렌징 오일,,클렌징/필링,클렌징 오일,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00002,헤어플러스,,단백질 본드 샴푸,,헤어케어,샴푸,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00003,에스네이처,S.NATURE,아쿠아 오아시스 토너,,스킨케어,스킨/토너,True,True,True,True,False,True,True,True,False,False,False,product_name_en|texture|oliveyoung_global_offer
P00004,라운드랩,ROUND LAB,자작나무 수분 선쿠션 [SPF50+/PA++++],,선케어,선쿠션/팩트,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00005,스트라이덱스,Stridex,센시티브 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00006,비플레인,beplain,시카테롤 스팟 트리트먼트,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00007,달바,d'Alba,워터풀 선크림 [SPF50+/PA++++] [톤업/핑크],,선케어,선크림/로션,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00008,에센허브,,티트리 100 오일,,스킨케어,페이스오일,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00009,미쟝센,Mise en scène,퍼펙트 오리지널 세럼 컨디셔너,,헤어케어,린스/컨디셔너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00010,YBK,,세라마이드 릴리프 하이드레이션 토너,,스킨케어,스킨/토너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00011,YBK,,세라마이드 릴리프 하이드레이션 에멀젼,,스킨케어,로션/에멀젼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00012,코스노리,,아보카도 아이크림,,스킨케어,아이케어,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00013,셀리맥스,Cellimax,지우개패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00014,이즈앤트리,ISNTREE,어니언 뉴페어 클리어 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00015,토리든,Torriden,밸런스풀 시카 클렌징 젤,,클렌징/필링,클렌징 젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00016,에스네이처,S.NATURE,아쿠아 스쿠알란 세럼,,스킨케어,에센스/앰플/세럼,True,True,True,True,False,True,True,True,False,False,False,product_name_en|texture|oliveyoung_global_offer
P00017,에스네이처,S.NATURE,아쿠아 스쿠알란 수분크림,Aqua Squalane Moisturizing Cream 60ml,스킨케어,크림,True,True,True,True,False,True,True,True,True,True,True,texture
P00018,YBK,,어성초 원스텝 포어 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00019,파티온,PARTION,노스카나인 스팟 패치,,마스크/팩,패치,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00020,토리든,Torriden,다이브인 저분자 히알루론산 클렌징 폼,,클렌징/필링,클렌징 폼,True,True,True,True,False,True,True,True,False,False,False,product_name_en|texture|oliveyoung_global_offer
P00021,라비엘,,아세로라 잡티 & 기미 케어 크림,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00022,에스네이처,S.NATURE,수퍼 아쿠아겔 오아시스 앰플 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00023,에스트라,AESTURA,테라크네365 하이드로 액티브 토너,,스킨케어,스킨/토너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00024,벨로즈,,유기농 호호바 오일,,스킨케어,페이스오일,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00025,라운드랩,ROUND LAB,자작나무 수분 선스틱 [SPF50+/PA++++],,선케어,선스틱,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00026,라보에이치,LABO-H,두피강화 클리닉 탈모증상완화 샴푸,,헤어케어,샴푸,True,True,True,True,False,False,True,True,False,False,False,product_name_en|texture|oliveyoung_global_offer
P00027,코스알엑스,COSRX,약산성 나이아신아마이드 미셀라 클렌징 워터,,클렌징/필링,클렌징 워터,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
