product_id,brand_ko,product_name_ko,official_product_page_url,source_image_url,source_file_name,clean_file_name,final_file_name,source_type,match_status,processing_status,review_status,drive_source_url,drive_clean_url,drive_final_url,notes
P00001,마녀공장,퓨어 소이빈 클렌징 오일,,"https://media.allure.com/photos/66aba0385835ea96cff5fb21/16:9/w_1280,c_limit/Manyo%20Pure%20Cleansing%20Oil.jpg",P00001_source.jpg,P00001_clean.png,P00001_final.webp,review_retailer,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1917kb_ljyu6HV7jqyBMTirWbsQBkZ_JZ/view?usp=drivesdk,,https://drive.google.com/file/d/124ZnhXRPr1ngnUcOCTRsiVjaHhVxmZYP/view?usp=drivesdk,second contact-sheet passed: single-product catalog candidate
P00002,헤어플러스,단백질 본드 샴푸,https://www.hairplus.co.kr/goods/goods_view.php?goodsNo=1000001036,https://godomall.speedycdn.net/b8a93572f3e8a4340e57cc2aceba3d20/goods/1000001036/image/detail/1000001036_detail_013.jpg,P00002_source.jpg,P00002_clean.png,P00002_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1DHAmAcMZcVGCYNbJdKiCSHS9Jv4iRaS1/view?usp=drivesdk,,https://drive.google.com/file/d/1Qrb5h4wRwb6Kup5_PCTMbEX8dg1jXKvb/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00003,에스네이처,아쿠아 오아시스 토너,https://m.snature.co.kr/product/detail.html?cate_no=0&display_group=&product_no=79,https://m.snature.co.kr/web/product/big/202508/a6e075ee360e5004feba4aaadb709b59.jpg,P00003_source.jpg,P00003_clean.png,P00003_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1oCId6NvbJ3vEqoVyZmKWlzr9SztlmXj1/view?usp=drivesdk,,https://drive.google.com/file/d/1qagoEZ6Dx7f59Efvl3-ciLLVh9NGZ-AL/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00004,라운드랩,자작나무 수분 선쿠션 [SPF50+/PA++++],https://m.roundlab.co.kr/product/%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4-%EC%88%98%EB%B6%84-%EC%84%A0%EC%BF%A0%EC%85%98-15g/194/category/87/display/1/,https://m.roundlab.co.kr/web/product/big/202511/bedbfd9764b4b4694578cb35b652012d.jpg,P00004_source.jpg,P00004_clean.png,P00004_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1q5573nLOYYzIyOK61SM8FDxYLNBOuJd1/view?usp=drivesdk,,https://drive.google.com/file/d/1lPOhW-i2U7MR05Wp64OSVcewmfDsRfLO/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00005,스트라이덱스,센시티브 패드,,https://stridex.com/wp-content/uploads/2022/08/stridex-product-maximum-55.jpg,P00005_source.jpg,P00005_clean.png,P00005_final.webp,brand_official_alternative,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1yhFpRA7O4Cu5rjqtEWztJfuLmx3V5C1a/view?usp=drivesdk,,https://drive.google.com/file/d/1rWB2l8tPst9FqccTRwPJ8cCDDoDKetFy/view?usp=drivesdk,second contact-sheet passed: single-product catalog candidate
P00006,비플레인,시카테롤 스팟 트리트먼트,https://www.beplain.co.kr/m/product_detail.html?brand_uid=90,https://beplain01.img4.kr/detail/cicaterol/spottreatment/1000px/full_cicaterol_spottretment_1000px_01.jpg,P00006_source.jpg,P00006_clean.png,P00006_final.webp,fallback_retailer,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1kxLd5GWXg6Tb2q64dncyR69uK38Og3fR/view?usp=drivesdk,,https://drive.google.com/file/d/1ULUItvf9yj4KgV75e3LJ-a_B0CJjLTHO/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00007,달바,워터풀 선크림 [SPF50+/PA++++] [톤업/핑크],https://dalba.co.kr/goods/goods_view.php?goodsNo=1000000495,https://buyallkorea.com/cdn/shop/files/1_b15091c5-0255-4e8d-a854-bc2773957915.jpg?v=1726580416,P00007_source.jpg,P00007_clean.png,P00007_final.webp,fallback_retailer,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1BH8h5zzm6OTo8yFhXgEq-A7XCrvx5izi/view?usp=drivesdk,,https://drive.google.com/file/d/1IYLhbc5-TaA-mCoE4vdxzSAVMo-lqKsH/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00008,에센허브,티트리 100 오일,https://m.amicosmetic.co.kr/product/%EC%97%90%EC%84%BC%ED%97%88%EB%B8%8C-%ED%8B%B0%ED%8A%B8%EB%A6%AC-100-%EC%98%A4%EC%9D%BC-10ml/144/,https://m.amicosmetic.co.kr/web/product/big/202601/888d7222917f4b0a79b9381bff8bedec.jpg,P00008_source.jpg,P00008_clean.png,P00008_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/14S2ic_GqYSvnJXM_-nxisbK5ncaY7Q_o/view?usp=drivesdk,,https://drive.google.com/file/d/14Q7me66F3PckNvY_mHhN9dY2lEZN36Ge/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00009,미쟝센,퍼펙트 오리지널 세럼 컨디셔너,https://www.miseenscene.com/product/%ED%8D%BC%ED%8E%99%ED%8A%B8-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%EC%84%B8%EB%9F%BC-%EC%BB%A8%EB%94%94%EC%85%94%EB%84%88/41/,https://www.miseenscene.com/web/product/big/20260320/0a79e6bed4eae5cea316c418ef2a141d.jpg,P00009_source.jpg,P00009_clean.png,P00009_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1JWhixHdLCLUc9CA0bAPUBNRB0x9-3kbn/view?usp=drivesdk,,https://drive.google.com/file/d/1M46TsIwOcIaku_DxzHVSq1fBa1_pNU3j/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00010,YBK,세라마이드 릴리프 하이드레이션 토너,https://ybk-cosmetics.com/product/%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EB%A6%B4%EB%A6%AC%ED%94%84-%ED%95%98%EC%9D%B4%EB%93%9C%EB%A0%88%EC%9D%B4%EC%85%98-%ED%86%A0%EB%84%88-120ml/10/category/23/display/1/,https://ybk-cosmetics.com/web/product/big/202402/d25d1d9cfbce6d1e67383935daca3ea1.jpg,P00010_source.jpg,P00010_clean.png,P00010_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1UVDjC5Qyt8aLhcQMeV01PJU3O-g3SQx4/view?usp=drivesdk,,https://drive.google.com/file/d/14N8fhqy33GiNti51oEC2Hg7o3BXX6-QN/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00011,YBK,세라마이드 릴리프 하이드레이션 에멀젼,https://ybk-cosmetics.com/product/%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EB%A6%B4%EB%A6%AC%ED%94%84-%ED%95%98%EC%9D%B4%EB%93%9C%EB%A0%88%EC%9D%B4%EC%85%98-%EC%97%90%EB%A9%80%EC%A0%BC-120ml/9/category/23/display/1/,https://ybk-cosmetics.com/web/product/big/202205/c7768b3265c851396f692a08100a4156.jpg,P00011_source.jpg,P00011_clean.png,P00011_final.webp,fallback_retailer,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1coQ2fO3EJX4xf5KDfw6L3_LJIoYUcQ15/view?usp=drivesdk,,https://drive.google.com/file/d/1HqJ0stOaf7F04JI6josl7W1Ai9KsKfeh/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00012,코스노리,아보카도 아이크림,https://cosnori.cafe24.com/product/%EC%BD%94%EC%8A%A4%EB%85%B8%EB%A6%AC-%EC%95%84%EB%B3%B4%EC%B9%B4%EB%8F%84-%EC%95%84%EC%9D%B4%ED%81%AC%EB%A6%BC-30ml/105/category/98/display/1/,https://cosnori.cafe24.com/web/product/big/202208/18f370c66455697abfe1ce801f4d513b.jpg,P00012_source.jpg,P00012_clean.png,P00012_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1vO4E9rKciTeS4NzAGjuf-sPD4sxNZHq_/view?usp=drivesdk,,https://drive.google.com/file/d/1xDHsHvhyvYZzdTzq_XufJW7myU8birBD/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00013,셀리맥스,지우개패드,https://celimax.co.kr/product/detail.html?product_no=22,https://ecimg.cafe24img.com/pg2019b28217072075/celimax001/web/product/big/20260810/56a04379977e31d641eaaf2509340be1.jpg,P00013_source.jpg,P00013_clean.png,P00013_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/112aQanlD2IktCEg-f__HBs-2qeS_da6v/view?usp=drivesdk,,https://drive.google.com/file/d/1ocTeRjgFe6O6NfJwsbPSM_PcFIwBAkbw/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00014,이즈앤트리,어니언 뉴페어 클리어 패드,https://isntree.com/product/%EC%96%B4%EB%8B%88%EC%96%B8-%EB%89%B4%ED%8E%98%EC%96%B4-%ED%81%B4%EB%A6%AC%EC%96%B4-%ED%8C%A8%EB%93%9C-60%EB%A7%A4-250ml/93/,https://isntree.com/web/product/big/202512/963ade724ed9d84e58bd74f8f2054476.jpg,P00014_source.jpg,P00014_clean.png,P00014_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1RsS7fpyD-2v1qzphMz7bV-l_nRVUjjtC/view?usp=drivesdk,,https://drive.google.com/file/d/101_UAK4vqVpw4b39boQbBitUbP7VjRKD/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00015,토리든,밸런스풀 시카 클렌징 젤,https://www.torriden.com/goods/goods_view.php?goodsNo=158,https://godomall-storage.cdn-nhncommerce.com/4d7876b81b0d37f8a7cfa4d402d68be4/goods/158/image/detail/158_detail_036.png,P00015_source.png,P00015_clean.png,P00015_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1eLty_kM4dvpPdSX_Pp9zbL9nXV4Ohq13/view?usp=drivesdk,,https://drive.google.com/file/d/1BL_aMLyliFv2yW6OAXwhzVJOu-SLYo0K/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00016,에스네이처,아쿠아 스쿠알란 세럼,https://m.snature.co.kr/product/detail.html?cate_no=24&display_group=1&product_no=83,https://media.bunjang.co.kr/product/378358164_1_1766730639_w1200.jpg,P00016_source.webp,P00016_clean.png,P00016_final.webp,individual_image_search,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1s5OyqSqYVCztjXgx4FJtWS-lO8J-dFER/view?usp=drivesdk,,https://drive.google.com/file/d/1AlZ6Mhpw3CsbtkzNVdxpu6uVo0OwJJJt/view?usp=drivesdk,individual search candidate 4 passed visually
P00017,에스네이처,아쿠아 스쿠알란 수분크림,https://m.snature.co.kr/product/detail.html?product_no=74,https://smasteri.cafe24.com/web/upload/free_design/cream/250902/cream_250902_02.gif,P00017_source.gif,P00017_clean.png,P00017_final.webp,individual_image_search,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/14G4SEmOVCOsoNA44G4DELcZdDWyA37fR/view?usp=drivesdk,,https://drive.google.com/file/d/1tREuIQOH8CLB9t7AOdVYaHcbb1vGiKlt/view?usp=drivesdk,individual search candidate 1 passed visually
P00018,YBK,어성초 원스텝 포어 패드,https://ybk-cosmetics.com/product/%EC%96%B4%EC%84%B1%EC%B4%88-%EC%9B%90%EC%8A%A4%ED%85%9D-%ED%8F%AC%EC%96%B4-%ED%8C%A8%EB%93%9C-140ml/15/category/1/display/2/,https://mblogthumb-phinf.pstatic.net/MjAyNDA1MDNfMTMg/MDAxNzE0NjY2NjE5NDM0.DYQL6ngq6hiLVVazuTRi9G9ZpPREAbSk3gxIY6CGT1sg.fsU_KWF-tkK2mgGd7s8MjU9JTHOIjjWsW1Vdpjixduwg.JPEG/IMG_6499.JPEG?type=w800,P00018_source.jpg,P00018_clean.png,P00018_final.webp,individual_image_search,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1hNCY-vYMTzH3DYK1IW09ZYUxIhq7EGRi/view?usp=drivesdk,,https://drive.google.com/file/d/13oR0mPHRX1RvHcFNJecMtt06pCYv7_oE/view?usp=drivesdk,individual search candidate 1 passed visually
P00019,파티온,노스카나인 스팟 패치,https://m.fation.co.kr/product/detail.html?page_6=1&product_no=725,https://m.fation.co.kr/web/product/big/202312/44ab6bad531337acabfbe7729067cbef.png,P00019_source.png,P00019_clean.png,P00019_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1G-twVVpWSdrHLLwUd-CBPt6xp3HNEhdO/view?usp=drivesdk,,https://drive.google.com/file/d/1Gc-5Y5nXN7SI0-A1nLUiUnCm_78uQ04e/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00020,토리든,다이브인 저분자 히알루론산 클렌징 폼,https://www.torriden.com/goods/goods_view.php?goodsNo=153,https://godomall-storage.cdn-nhncommerce.com/4d7876b81b0d37f8a7cfa4d402d68be4/goods/153/image/detail/153_detail_035.png,P00020_source.png,P00020_clean.png,P00020_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/16IV8JFqKGBG9ll5yeb2GkHig7YrJThYd/view?usp=drivesdk,,https://drive.google.com/file/d/12i0YGiHAo3LonhSJrBgcokbszM5G0iNj/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00021,라비엘,아세로라 잡티 & 기미 케어 크림,,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/d076/026418be6396e9567a3ad7081c10a49835b093c0487526e3381690481885.jpg,P00021_source.jpg,P00021_clean.png,P00021_final.webp,individual_image_search,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1CmR7UZQkD4-dE6FKpIz1XUDetAqj-ahc/view?usp=drivesdk,,https://drive.google.com/file/d/18SqX-0bKV-D2mEgHN_8DkKJMJqcvYH0k/view?usp=drivesdk,individual search candidate 1 passed visually
P00022,에스네이처,수퍼 아쿠아겔 오아시스 앰플 마스크,https://m.snature.co.kr/product/%EC%88%98%ED%8D%BC-%EC%95%84%EC%BF%A0%EC%95%84%EA%B2%94-%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4-%EC%95%B0%ED%94%8C-%EB%A7%88%EC%8A%A4%ED%81%AC-1%EB%A7%A4/81/display/1/,https://m.snature.co.kr/web/product/big/202605/def24d1b18d7b3e093152d11cac51577.png,P00022_source.png,P00022_clean.png,P00022_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1rS4DDwPFZU9nPhnBWd0MVU-9KTpgUVVV/view?usp=drivesdk,,https://drive.google.com/file/d/1KjSHIePu9dw5-JVjWR_cGTgYrJJjBHIi/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00023,에스트라,테라크네365 하이드로 액티브 토너,https://www.aestura.com/web/product/view.do?prdSeq=1109,https://image.aestura.com/upload/product/1109_L.png,P00023_source.png,P00023_clean.png,P00023_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1kFacxhfmSNklYWNNndxOpvl0gnbjY2-U/view?usp=drivesdk,,https://drive.google.com/file/d/1WRwsLaVFu1ZtbIl9hdTA_9p-Ubk20Nr8/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00024,벨로즈,유기농 호호바 오일,https://m.bellrose.co.kr/product/%EB%B3%B4%EC%8A%B5-%EC%9C%A0%EA%B8%B0%EB%86%8D-%EA%B3%A8%EB%93%A0-%ED%98%B8%ED%98%B8%EB%B0%94%EC%98%A4%EC%9D%BC/42/,https://m.bellrose.co.kr/web/product/big/202603/8a1025ba9d886de3306c8921a286fe37.jpg,P00024_source.jpg,P00024_clean.png,P00024_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1lD4DVvzTFLwQET9LzqWzWf0VvKspAY5O/view?usp=drivesdk,,https://drive.google.com/file/d/1XCWJ6gMREbkJya5uL5V0pCp1Kswj9FoR/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00025,라운드랩,자작나무 수분 선스틱 [SPF50+/PA++++],https://roundlab.co.kr/product/%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4-%EC%88%98%EB%B6%84-%EC%84%A0%EC%8A%A4%ED%8B%B1-19g/195/category/115/display/1/,https://roundlab.co.kr/web/product/big/202511/57ee6fc1c32f7d94391f17f730b5ba18.jpg,P00025_source.jpg,P00025_clean.png,P00025_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1iPqEahiR-9kPL5Isr-XYdpavIANrxFWG/view?usp=drivesdk,,https://drive.google.com/file/d/1NUGUNZR8ID8eLPUOT2DJYo4DZhOeibhb/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00026,라보에이치,두피강화 클리닉 탈모증상완화 샴푸,https://laboh.co.kr/product/detail.html?item_code=P00000CO000M&product_no=66,https://laboh.co.kr/web/product/big/202606/769e8ec6b191da4bf5afb3e3b981c954.jpg,P00026_source.jpg,P00026_clean.png,P00026_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1yx730dhW98v_mc2TSwbCc4SRJAj5JtA1/view?usp=drivesdk,,https://drive.google.com/file/d/1v04-XzdZpJlpf7lhqYhlAzvDzXATWxPI/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00027,코스알엑스,약산성 나이아신아마이드 미셀라 클렌징 워터,https://www.cosrx.co.kr/shop/shopdetail.html?branduid=1177652,http://cosrxinc.jpg3.kr/cosrximg/cosrx/product/Low_pH_Niacinamide_cleansing_water/01.png,P00027_source.png,P00027_clean.png,P00027_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1mOT8aMtLXRzl8n6aLdH1xo8ugCUeBduj/view?usp=drivesdk,,https://drive.google.com/file/d/1BIgUwggqgbZWRE-_vp2yeqP2nEcXGwJ8/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00028,메이크프렘,인테카 수딩 클렌징 폼,https://www.makeprem.com/goods/goods_view.php?goodsNo=1000000218,https://godomall.speedycdn.net/cbda03828f13128c7896245b9504291f/goods/1000000218/image/detail/1000000218_detail_091.jpg,P00028_source.jpg,P00028_clean.png,P00028_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1fF6z83FYp6T3HhHBQah4UFhoxpgPuQZQ/view?usp=drivesdk,,https://drive.google.com/file/d/1Y5VNRcZrNLPsp3zWMybfaxR-6bvyhtNU/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00029,토리든,밸런스풀 시카 토너 패드,https://www.torriden.com/goods/goods_view.php?goodsNo=156,https://godomall-storage.cdn-nhncommerce.com/4d7876b81b0d37f8a7cfa4d402d68be4/goods/156/image/detail/156_detail_095.png,P00029_source.png,P00029_clean.png,P00029_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1WhxHduC90FGrvzLpslRoH7bO00Aen_Oy/view?usp=drivesdk,,https://drive.google.com/file/d/1FuYCwfVO6OJxFgkn9JWrCrV8FngszGjg/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
P00030,메디필,그린 시카 콜라겐 클리어 젤 클렌저 2.0,https://m.medipeel.co.kr/product/detail.html?cate_no=1&display_group=36&product_no=2739,https://m.medipeel.co.kr/web/product/big/202607/3671c821d54e3ff8f6c6a0d9f7c3ebc8.jpg,P00030_source.jpg,P00030_clean.png,P00030_final.webp,brand_official,verified_product,processed_needs_review,candidate_pass,https://drive.google.com/file/d/1g6WC1S-5u9JUYmH3wRqLupP_TkBcJrTr/view?usp=drivesdk,,https://drive.google.com/file/d/1mxhos1Fp701u4n_sfuzAImEvQtPENa0r/view?usp=drivesdk,contact-sheet passed: single-product catalog candidate
