product_id,routine_step,brand_ko,brand_en,product_name_ko,product_name_en,category_raw,subcategory_raw,skin_types_raw,concerns_raw,texture_raw,best_source_rank,award_count,oliveyoung_global_url,existing_pick,selection_score,normalized_skin_types,normalized_concerns,texture_finish_review,caution_review,image_status,editorial_status,missing_for_promotion,review_notes
P00256,cleanser,비플레인,beplain,녹두 약산성 클렌징폼,Mung Bean pH-Balanced Cleansing Foam 80ml,,,건성|민감성|복합성|아토피|여드름|중성|지성,,,1,2,https://global.oliveyoung.com/product/detail?prdtNo=GA210001977,True,122.0,,,,,needs_review,needs_review,texture_finish,
P00072,cleanser,비플레인,beplain,녹두 클렌징 오일,,클렌징/필링,클렌징 오일,지성,모공,,2,1,,False,31.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00020,cleanser,토리든,Torriden,다이브인 저분자 히알루론산 클렌징 폼,,클렌징/필링,클렌징 폼,민감성|복합성|여드름|중성|지성,수분,,11,1,,False,30.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00214,cleanser,메이크프렘,make p:rem,세이프 미 릴리프 모이스처 클렌징 밀크,,클렌징/필링,클렌징 로션/크림,민감성|복합성|아토피|여드름|중성|지성,보습,,14,2,,False,29.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00165,cleanser,아누아,ANUA,어성초 약산성 딥 클렌징 워터,,클렌징/필링,클렌징 워터,,진정,,,2,,False,17.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00028,cleanser,메이크프렘,make p:rem,인테카 수딩 클렌징 폼,,클렌징/필링,클렌징 젤,,트러블,,,1,,False,15.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00054,mask_exfoliant,메디힐,MEDIHEAL,마데카소사이드 에센셜 마스크 [흔적리페어],,마스크/팩,시트마스크,건성|민감성|복합성|아토피|여드름|중성|지성,브라이트닝,,3,1,,False,38.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00019,mask_exfoliant,파티온,PARTION,노스카나인 스팟 패치,,마스크/팩,패치,,트러블,,,2,,False,17.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00043,mask_exfoliant,일소,ILSO,슈퍼 멜팅 세범 소프트너,,클렌징/필링,스크럽/필링,,모공,,,2,,False,17.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
P00005,mask_exfoliant,스트라이덱스,Stridex,센시티브 패드,,클렌징/필링,스크럽/필링 패드,,각질,,,1,,False,15.0,,,,,needs_review,needs_review,product_name_en|oliveyoung_global_offer|texture_finish,
