product_id,brand,product_name,product_name_en,category,subcategory,is_rising,rising_rank,category_rank,brand_rank
P00001,마녀공장,퓨어 소이빈 클렌징 오일,,클렌징/필링,클렌징 오일,,,,
P00002,헤어플러스,단백질 본드 샴푸,,헤어케어,샴푸,,,,
P00003,에스네이처,아쿠아 오아시스 토너,,스킨케어,스킨/토너,TRUE,17,4,3
P00004,라운드랩,자작나무 수분 선쿠션 [SPF50+/PA++++],,선케어,선쿠션/팩트,,,,
P00005,스트라이덱스,센시티브 패드,,클렌징/필링,스크럽/필링 패드,,,,
P00006,비플레인,시카테롤 스팟 트리트먼트,,스킨케어,크림,,,,
P00007,달바,워터풀 선크림 [SPF50+/PA++++] [톤업/핑크],,선케어,선크림/로션,,,,
P00008,에센허브,티트리 100 오일,,스킨케어,페이스오일,,,,
P00009,미쟝센,퍼펙트 오리지널 세럼 컨디셔너,,헤어케어,린스/컨디셔너,,,,
P00010,YBK,세라마이드 릴리프 하이드레이션 토너,,스킨케어,스킨/토너,,,,
P00011,YBK,세라마이드 릴리프 하이드레이션 에멀젼,,스킨케어,로션/에멀젼,,,,
P00012,코스노리,아보카도 아이크림,,스킨케어,아이케어,,,,
P00013,셀리맥스,지우개패드,,클렌징/필링,스크럽/필링 패드,,,,
P00014,이즈앤트리,어니언 뉴페어 클리어 패드,,클렌징/필링,스크럽/필링 패드,,,,
P00015,토리든,밸런스풀 시카 클렌징 젤,,클렌징/필링,클렌징 젤,,,,
P00016,에스네이처,아쿠아 스쿠알란 세럼,,스킨케어,에센스/앰플/세럼,,,,3
P00017,에스네이처,아쿠아 스쿠알란 수분크림,Aqua Squalane Moisturizing Cream 60ml,스킨케어,크림,,,10,3
P00018,YBK,어성초 원스텝 포어 패드,,클렌징/필링,스크럽/필링 패드,,,,
P00019,파티온,노스카나인 스팟 패치,,마스크/팩,패치,,,,
P00020,토리든,다이브인 저분자 히알루론산 클렌징 폼,,클렌징/필링,클렌징 폼,,,19,
P00021,라비엘,아세로라 잡티 & 기미 케어 크림,,스킨케어,크림,,,,
