product_id,brand,product_name,ranking_type,key,rank
P00244,리더스,스텝솔루션 알로에 수딩 마스크,급상승,,1
P00359,딕셔니스트,아미노산 앰플,급상승,,2
P00249,토리든,다이브인 저분자 히알루론산 세럼,급상승,,3
P00237,빌랑스,마이티 요거티 핑크 파우더,급상승,,4
P00068,리브엠,워터핏 8중 수분착붙 패드,급상승,,5
P00257,트리셀,안티 댄드러프 샴푸,급상승,,6
P00293,시드물,알로에 에센셜 수딩 마스크시트팩,급상승,,7
P00097,에스트라,아토베리어365 크림,급상승,,8
P00256,비플레인,녹두 약산성 클렌징폼,급상승,,9
P00084,닥터트웬티프로젝트,나인 토너,급상승,,10
P00271,롬앤,누 제로 쿠션 [SPF24/PA++] [03 내추럴21],급상승,,11
P00251,리더스,그린 콜라겐 아이크림 포 페이스,급상승,,12
P00230,라운드랩,자작나무 수분 선크림 [SPF50+/PA++++],급상승,,13
P00232,토리든,다이브인 저분자 히알루론산 수딩 크림,급상승,,14
P00123,웰라쥬,리얼 히알루로닉 블루 100 앰플,급상승,,15
P00214,메이크프렘,세이프 미 릴리프 모이스처 클렌징 밀크,급상승,,16
P00003,에스네이처,아쿠아 오아시스 토너,급상승,,17
P00227,토리든,다이브인 저분자 히알루론산 토너,급상승,,18
P00036,프리메이,올리브 시카 카밍 앰플 마스크,급상승,,19
P00225,린제이,모델링마스크 컵팩 [쿨티트리],급상승,,20
P00237,빌랑스,마이티 요거티 핑크 파우더,카테고리 전체,,1
P00256,비플레인,녹두 약산성 클렌징폼,카테고리 전체,,2
P00084,닥터트웬티프로젝트,나인 토너,카테고리 전체,,3
P00003,에스네이처,아쿠아 오아시스 토너,카테고리 전체,,4
P00159,웰라쥬,리얼 히알루로닉 수딩 크림,카테고리 전체,,5
P00075,아누아,PDRN 히알루론산 캡슐 100 세럼,카테고리 전체,,6
P00123,웰라쥬,리얼 히알루로닉 블루 100 앰플,카테고리 전체,,7
P00227,토리든,다이브인 저분자 히알루론산 토너,카테고리 전체,,8
P00225,린제이,모델링마스크 컵팩 [쿨티트리],카테고리 전체,,9
P00017,에스네이처,아쿠아 스쿠알란 수분크림,카테고리 전체,,10
P00232,토리든,다이브인 저분자 히알루론산 수딩 크림,카테고리 전체,,11
P00079,션리,다시마 앰플 클렌징폼,카테고리 전체,,12
P00054,메디힐,마데카소사이드 에센셜 마스크 [흔적리페어],카테고리 전체,,13
P00354,토니모리,세라마이드 모찌 토너,카테고리 전체,,14
P00222,라운드랩,1025 독도 토너,카테고리 전체,,15
P00286,일리윤,세라마이드 아토 로션,카테고리 전체,,16
