product_id,source,skin_type_raw,rank
P00222,화해,건성,20
P00222,화해,민감성,19
P00222,화해,복합성,17
P00222,화해,여드름,13
P00222,화해,중성,15
P00222,화해,지성,10
P00214,화해,민감성,16
P00214,화해,복합성,19
P00214,화해,아토피,19
P00214,화해,여드름,14
P00214,화해,중성,20
P00214,화해,지성,17
P00225,화해,건성,18
P00225,화해,민감성,9
P00225,화해,복합성,10
P00225,화해,아토피,12
P00225,화해,여드름,8
P00225,화해,중성,17
P00225,화해,지성,5
P00017,화해,건성,9
P00017,화해,민감성,10
P00017,화해,복합성,9
P00017,화해,아토피,13
P00017,화해,여드름,11
P00017,화해,중성,6
P00017,화해,지성,12
P00227,화해,건성,10
P00227,화해,민감성,7
P00227,화해,복합성,7
P00227,화해,아토피,10
P00227,화해,여드름,6
P00227,화해,중성,9
P00227,화해,지성,3
P00084,화해,건성,8
P00084,화해,민감성,3
P00084,화해,복합성,4
P00084,화해,아토피,4
P00084,화해,여드름,2
P00084,화해,중성,3
P00084,화해,지성,2
P00230,화해,민감성,20
P00230,화해,복합성,15
P00230,화해,여드름,17
P00230,화해,중성,11
P00230,화해,지성,16
P00232,화해,건성,17
P00232,화해,민감성,11
P00232,화해,복합성,11
P00232,화해,아토피,15
P00232,화해,여드름,9
P00232,화해,중성,13
P00232,화해,지성,6
P00072,화해,지성,20
P00003,화해,건성,6
P00003,화해,민감성,5
P00003,화해,복합성,5
P00003,화해,아토피,8
P00003,화해,여드름,5
P00003,화해,중성,4
P00003,화해,지성,4
P00057,화해,건성,14
P00057,화해,지성,18
P00237,화해,건성,2
P00237,화해,민감성,1
P00237,화해,복합성,1
P00237,화해,아토피,2
P00237,화해,여드름,1
P00237,화해,중성,1
P00237,화해,지성,1
P00238,화해,여드름,20
P00238,화해,지성,15
P00242,화해,복합성,20
P00242,화해,아토피,18
P00016,화해,중성,19
P00020,화해,민감성,18
P00020,화해,복합성,18
P00020,화해,여드름,16
P00020,화해,중성,18
P00020,화해,지성,11
P00026,화해,아토피,20
P00256,화해,건성,3
P00256,화해,민감성,2
P00256,화해,복합성,3
P00256,화해,아토피,3
P00256,화해,여드름,4
P00256,화해,중성,2
P00256,화해,지성,7
P00079,화해,건성,5
P00079,화해,민감성,12
P00079,화해,아토피,11
P00079,화해,여드름,19
P00079,화해,중성,14
P00079,화해,지성,14
P00054,화해,건성,19
P00054,화해,민감성,14
P00054,화해,복합성,12
P00054,화해,아토피,14
P00054,화해,여드름,10
P00054,화해,중성,10
P00054,화해,지성,13
P00075,화해,건성,4
P00075,화해,민감성,6
P00075,화해,복합성,8
P00075,화해,아토피,6
P00075,화해,여드름,12
P00075,화해,중성,7
P00075,화해,지성,9
P00275,화해,건성,1
P00275,화해,아토피,1
P00283,화해,건성,13
P00283,화해,민감성,17
P00283,화해,복합성,16
P00283,화해,아토피,17
P00283,화해,중성,12
P00286,화해,건성,16
P00286,화해,민감성,15
P00286,화해,복합성,14
P00286,화해,아토피,9
P00286,화해,여드름,18
P00286,화해,중성,16
P00286,화해,지성,19
P00123,화해,건성,11
P00123,화해,민감성,8
P00123,화해,복합성,6
P00123,화해,아토피,7
P00123,화해,여드름,7
P00123,화해,중성,8
P00123,화해,지성,8
P00159,화해,민감성,4
P00159,화해,복합성,2
P00159,화해,아토피,5
P00159,화해,여드름,3
P00185,화해,건성,15
P00195,화해,건성,7
P00354,화해,건성,12
P00354,화해,민감성,13
P00354,화해,복합성,13
P00354,화해,아토피,16
P00354,화해,여드름,15
P00357,화해,중성,5
