product_id,brand,product_name,product_name_en,category,subcategory,is_rising,rising_rank,category_rank,brand_rank,source_1,source_product_id_1,url_1,source_2,source_product_id_2,url_2,source_3,source_product_id_3,url_3
P00001,마녀공장,퓨어 소이빈 클렌징 오일,,클렌징/필링,클렌징 오일,,,,,화해,3432,https://www.hwahae.co.kr/goods/p/3432,,,,,,
P00002,헤어플러스,단백질 본드 샴푸,,헤어케어,샴푸,,,,,화해,12150,https://www.hwahae.co.kr/goods/p/12150,,,,,,
P00003,에스네이처,아쿠아 오아시스 토너,,스킨케어,스킨/토너,TRUE,17,4,3,화해,26143,https://www.hwahae.co.kr/goods/p/26143,화해,1950255,https://www.hwahae.co.kr/products/p/1950255,,,
P00004,라운드랩,자작나무 수분 선쿠션 [SPF50+/PA++++],,선케어,선쿠션/팩트,,,,,화해,30214,https://www.hwahae.co.kr/goods/p/30214,,,,,,
P00005,스트라이덱스,센시티브 패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,30229,https://www.hwahae.co.kr/goods/p/30229,,,,,,
P00006,비플레인,시카테롤 스팟 트리트먼트,,스킨케어,크림,,,,,화해,31196,https://www.hwahae.co.kr/goods/p/31196,,,,,,
P00007,달바,워터풀 선크림 [SPF50+/PA++++] [톤업/핑크],,선케어,선크림/로션,,,,,화해,31262,https://www.hwahae.co.kr/goods/p/31262,,,,,,
P00008,에센허브,티트리 100 오일,,스킨케어,페이스오일,,,,,화해,32202,https://www.hwahae.co.kr/goods/p/32202,,,,,,
P00009,미쟝센,퍼펙트 오리지널 세럼 컨디셔너,,헤어케어,린스/컨디셔너,,,,,화해,33080,https://www.hwahae.co.kr/goods/p/33080,,,,,,
P00010,YBK,세라마이드 릴리프 하이드레이션 토너,,스킨케어,스킨/토너,,,,,화해,33372,https://www.hwahae.co.kr/goods/p/33372,,,,,,
P00011,YBK,세라마이드 릴리프 하이드레이션 에멀젼,,스킨케어,로션/에멀젼,,,,,화해,33374,https://www.hwahae.co.kr/goods/p/33374,,,,,,
P00012,코스노리,아보카도 아이크림,,스킨케어,아이케어,,,,,화해,40922,https://www.hwahae.co.kr/goods/p/40922,,,,,,
P00013,셀리맥스,지우개패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,42944,https://www.hwahae.co.kr/goods/p/42944,,,,,,
P00014,이즈앤트리,어니언 뉴페어 클리어 패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,42991,https://www.hwahae.co.kr/goods/p/42991,,,,,,
P00015,토리든,밸런스풀 시카 클렌징 젤,,클렌징/필링,클렌징 젤,,,,,화해,44357,https://www.hwahae.co.kr/goods/p/44357,,,,,,
P00016,에스네이처,아쿠아 스쿠알란 세럼,,스킨케어,에센스/앰플/세럼,,,,3,화해,45153,https://www.hwahae.co.kr/goods/p/45153,화해,2001721,https://www.hwahae.co.kr/products/p/2001721,,,
