카테고리,국문명,영문명,지역,주소,평점,리뷰수,About
전망대 & 타워,N 서울타워,N Seoul Tower,용산구,서울 용산구 남산공원길 105,4.2,9678,남산 정상에 위치한 서울의 대표 랜드마크 전망대. 낮과 밤 모두 아름다운 시내 전망으로 유명하며 특히 야경 명소로 인기가 높음. 인근 남대문시장과 연계 관광 가능.
전망대 & 타워,롯데월드타워&몰,Lotte World Tower & Mall,송파구,서울 송파구 올림픽로 300(롯데월드 117~123층),4.4,902,"세계 5위권 초고층 빌딩으로 전망대, 스카이워크, 럭셔리 호텔, 쇼핑몰, 레스토랑, 갤러리, 콘서트홀이 결합된 복합시설. 방문에 3시간 이상 소요."
전망대 & 타워,서울스카이,Seoul Sky,송파구,서울 송파구 올림픽로 300(롯데월드타워 117~123층),4.3,303,롯데월드타워 117~123층에 위치한 전망대로 서울에서 가장 높은 전망 명소. 유리 바닥 체험 등이 있으나 편의시설은 다소 부족하다는 평.
전망대 & 타워,서울 한양도성,Seoul City Wall,종로구,종로구 일대(단일 주소 없음),4.4,195,"약 600년 전 축조된 서울 성곽길. 구간별로 난이도와 풍경이 달라 걷기 코스로 인기, 남산·낙산 구간에서 시내 전망 감상 가능."
전망대 & 타워,정동전망대,Jeongdong Observatory,중구,서울 중구 덕수궁길 15 서울시청 서소문별관 13층,4.4,37,"서울시청 서소문별관 13층 무료 전망 공간 겸 카페. 덕수궁을 내려다보는 숨은 명소로, 최근 운영 여부에 혼선이 있어 방문 전 확인 필요."
전망대 & 타워,김포공항 전망대,Gimpo Int'l Airport Observatory Deck,강서구,서울 강서구 하늘길 78 김포국제공항,3.5,20,김포국제공항 국내선 청사 4층 야외 전망대로 항공기 이동을 가까이서 볼 수 있음. 국제선 반대편이라 국내선 항공기만 조망 가능.
전망대 & 타워,종로타워,Jongno Tower,종로구,서울 종로구 종로 51 종각역,3.3,10,"종각역 인근 독특한 타원형 건축물. 예전 30층 전망 데크는 현재 오피스로 전환되어 전망 기능은 없고, 지하 도서관·푸드코트가 있음."
전망대 & 타워,뚝섬 전망문화콤플렉스 J-Bug,Cultural Complex J-Bug,광진구,광진구 뚝섬한강공원 내(정식명칭 서울생각마루),4.0,9,뚝섬한강공원 내 누에 모양 복합문화시설로 도서관·카페·전시공간을 갖추고 한강 야경 조망 가능.
전망대 & 타워,63 스카이피크닉,63 Skypicnic,영등포구,영등포구 63로 50 63빌딩 내(비공식),5.0,10,63빌딩 내 예술과 전망을 결합한 체험형 공간으로 지상 250m 높이에서 예술적 휴식을 즐길 수 있는 아트 전망대.
전망대 & 타워,광진교8번가,Riverview 8th Avenue,강동구,서울 강동구 선사로 4 광진교 중앙지점 하단,3.9,9,"광진교 중앙 하단에 위치한 한강 전망대. 다리 리모델링으로 조성된 랜드마크로, 이용객이 적어 조용하게 즐길 수 있음."
전망대 & 타워,채석장 전망대,Chaeseokjang Observatory,종로구,종로구 창신동 일대(비공식),-,2,창신동 인근 카페 옥상형 전망대. 카페 이용 시에만 옥상 출입 가능한 숨은 도심 전망 명소.
전망대 & 타워,응봉산팔각정,Eungbongsan Palgakjeong,성동구,성동구 응봉동(비공식),5.0,2,응봉산 정상 팔각정으로 한강·성수대교·강변북로 야경을 한눈에 담을 수 있는 서울의 인기 야경 명소.
벼룩시장 & 재래시장,남대문시장,Namdaemun Market,명동,서울 중구 남대문시장4길 21,3.9,2966,"한국 최대 규모 전통시장. 의류·액세서리·공예품·약재 등 판매, 상인이 직접 만든 상품을 좋은 가격에 판매."
벼룩시장 & 재래시장,광장시장,Kwangjang Market,종로구,서울 종로구 창경궁로 88,4.2,2368,"1905년 설립된 국내 최초 사설 상설시장. 빈대떡·마약김밥 등 먹자골목으로 유명, 최근 외국인 관광객 급증."
벼룩시장 & 재래시장,쌈지길,Ssamzigil,인사동,서울 종로구 인사동길 44,3.9,469,나선형 통로를 따라 전통 공예품·기념품·체험공방이 모인 편집매장.
벼룩시장 & 재래시장,노량진 수산물 도매시장,Noryangjin Fisheries Wholesale Market,동작구,서울 동작구 노들로 674,3.9,930,서울 최대 수산물 도매시장. 신선한 회를 구매 후 인근 식당에서 시식 가능.
벼룩시장 & 재래시장,마장 축산물시장,Majang Meat Market,성동구,서울 성동구 마장로31길 40,4.3,111,국내 최대 축산물 유통시장. 저렴하게 한우 구매 후 바로 구워먹기 가능.
벼룩시장 & 재래시장,중부시장,Jungbu Market,중구,주소 미기재(인근지역: 중구),4.2,115,건어물·해산물·인삼 전문 도매시장.
벼룩시장 & 재래시장,망원시장,Mangwon Market,마포구,서울 마포구 포은로8길 14,4.3,48,"망원동 대표 전통시장, 신선한 채소·과일과 먹거리로 유명."
벼룩시장 & 재래시장,가락시장,Garak Market,송파구,서울 송파구 양재대로 932,4.2,46,국내 최대 농수산물 도매시장.
벼룩시장 & 재래시장,서울풍물시장,Seoul Folk Flea Market,동대문구,서울 동대문구 천호대로4길 21,3.6,71,신설동 인근 실내 골동품·구제 시장.
벼룩시장 & 재래시장,동묘벼룩시장,Dongmyo Flea Market,종로구,서울 종로구 숭인동(동묘앞역 3번 출구 인근),4.2,35,"구제·빈티지 벼룩시장, 골동품과 중고의류 판매."
벼룩시장 & 재래시장,마포 농수산물 시장,Mapo Agricultural & Marine Products Market,상암/월드컵공원/DMC,서울 마포구 월드컵로 235,3.9,11,마포월드컵경기장 인근 도매시장. 노량진시장의 저렴한 대안으로 언급됨.
벼룩시장 & 재래시장,공덕시장,Gongdeok Market,마포구,서울 마포구 만리재로 19,3.7,9,"마포 공덕동 명물시장, 족발집으로 유명."
벼룩시장 & 재래시장,종로3가 포장마차 골목,Jongno 3-ga Stalls Alley,광화문/종로,주소 미기재(인근지역: 종로구),4.1,8,"포장마차가 모인 골목, 힙한 감성의 길거리 음식."
벼룩시장 & 재래시장,영등포중앙시장,Yeongdeungpo Market,영등포,서울 영등포구 영등포로 225,3.4,18,"영등포 대표 재래시장, 순댓국 거리로 유명."
벼룩시장 & 재래시장,신흥시장,Shinheung Market,해방촌,서울 용산구 신흥로 95-9,4.4,5,"해방촌 레트로 감성 골목시장, 소품샵·카페."
벼룩시장 & 재래시장,공릉동 도깨비시장,Gongneungdong Goblin Market,노원구,서울 노원구 동일로180길 37,4.3,3,"경춘선숲길과 연결된 아담한 시장, 닭강정·만두 등."
벼룩시장 & 재래시장,영천시장,Yeongcheon Market,서대문,서울 서대문구 성산로 704,4.3,4,"현지인이 즐겨찾는 전통시장, 족발 맛집으로 유명."
벼룩시장 & 재래시장,Myeongdong Night Market,Myeongdong Night Market,명동,서울 Chungmu-ro 2-gil 3,4.7,18,"명동 인근 야시장, 밤에 즐기는 다양한 길거리 음식."
벼룩시장 & 재래시장,영동전통시장,Yeongdong Traditional Market,강남/논현/역삼,정보 부족,4.5,2,정보 부족
벼룩시장 & 재래시장,종로신진시장,Jongno Sinjin Market,광화문/종로,정보 부족,4.3,3,정보 부족
벼룩시장 & 재래시장,암사종합시장,Amsa Complex Market,강동구,정보 부족,4.8,4,정보 부족
벼룩시장 & 재래시장,서울중앙시장,Seoul Central Market,-,정보 부족,3.0,1,정보 부족
벼룩시장 & 재래시장,서울 밤도깨비 야시장-여의도,Seoul Bamdokkaebi Night Market Yeouido,여의도,정보 부족,4.0,2,정보 부족
벼룩시장 & 재래시장,뚝섬 아름다운 나눔장터,Ttukseom Flea Market,광진구,정보 부족,3.7,6,정보 부족
벼룩시장 & 재래시장,청담삼익시장,Cheongdam Samik Market,압구정/청담,정보 부족,4.0,2,정보 부족
벼룩시장 & 재래시장,인현시장,Inhyeon Market,-,정보 부족,4.0,1,정보 부족
벼룩시장 & 재래시장,새마을 전통시장,Saemaul Traditional Market,-,정보 부족,4.0,1,정보 부족
벼룩시장 & 재래시장,중랑동부시장,Dongbu Sijang,중랑구,정보 부족,4.0,1,정보 부족
벼룩시장 & 재래시장,남구로시장,Namguro Market,구로구,정보 부족,3.6,5,정보 부족
벼룩시장 & 재래시장,대림중앙시장,Daerim Central Market,영등포구,정보 부족,3.3,3,정보 부족
벼룩시장 & 재래시장,모래내시장,Moraenae Market,서대문,정보 부족,4.3,3,정보 부족
벼룩시장 & 재래시장,남성사계시장,Namsung Sagye Sijang,-,정보 부족,5.0,2,정보 부족
벼룩시장 & 재래시장,시티스타몰,Citistar Mall,-,정보 부족,2.5,2,정보 부족
벼룩시장 & 재래시장,수유전통시장,Suyu Market,강북구,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,구로시장,Guro Market,구로구,정보 부족,4.0,2,정보 부족
벼룩시장 & 재래시장,후암시장,Huam Market,서울역/시청,정보 부족,3.0,1,정보 부족
벼룩시장 & 재래시장,마켓인 유 - 홍대입구역점,Market In U Hongik Univ. Station,마포구,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,방학동 도깨비시장,Banghakdong Goblin Market,도봉구,정보 부족,4.5,2,정보 부족
벼룩시장 & 재래시장,펭귄시장,Penguin Traditional Market,관악구,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,돈암시장,Donam Traditional Market,성북구,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,길음시장,Gileum Sijang,성북구,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,장미제일시장,Jangmi Jeil Sijang,중랑구,정보 부족,4.0,1,정보 부족
벼룩시장 & 재래시장,마천시장,Macheon Market,송파구,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,둔촌역 전통시장,Dunchon Market,-,정보 부족,4.0,1,정보 부족
벼룩시장 & 재래시장,인왕시장,In Wang Market,서대문,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,우림시장,Urim Sijang,중랑구,정보 부족,5.0,3,정보 부족
벼룩시장 & 재래시장,용답 푸르미르 상가시장,Yongdap Puleumileu Sangga Sijang,성동구,정보 부족,4.0,2,정보 부족
벼룩시장 & 재래시장,송화벽화시장,Songhwabyeoghwasijang,-,정보 부족,5.0,2,정보 부족
벼룩시장 & 재래시장,성대 전통시장,Seongdae Traditional Market,-,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,중림시장,Jungrim Sijang,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,신원시장,Shinwon Market,-,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,정릉시장,Jeongneung Market,성북구,정보 부족,-,-,정보 부족
