관리번호,사업장명,category,업태구분명,위생업태명,도로명주소,지번주소,전화,인허가일자,영업상태,hub,existing_slug,status
3220000-204-1978-01897,갈류,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 71 (압구정동,(2동 지하 4호))",서울특별시 강남구 압구정동 369-1 (2동 지하 4호),025424257,1978-06-17,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1983-01782,수잔,salon,일반미용업,미용업,"서울특별시 강남구 영동대로138길 9 (청담동,,15)","서울특별시 강남구 청담동 131-14 ,15",025431668,1983-11-12,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1983-01808,장윤정,salon,일반미용업,미용업,서울특별시 강남구 강남대로156길 15 (신사동),서울특별시 강남구 신사동 510-7,025449963,1983-09-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1983-01814,은혜,salon,일반미용업,미용업,서울특별시 강남구 도산대로99길 39 (청담동),서울특별시 강남구 청담동 122-20,025461195,1983-11-07,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1985-01737,마돈나,salon,일반미용업,미용업,"서울특별시 강남구 압구정로2길 46, 지상2층 202호 (신사동, ---------)",서울특별시 강남구 신사동 510-11 ---------,025426864,1985-01-08,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1986-01686,최지용뷰티살롱,salon,일반미용업,미용업,"서울특별시 강남구 삼성로149길 3-8, 지상3층 (청담동)",서울특별시 강남구 청담동 7-3,025497148,1986-10-07,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1986-01711,최정아,salon,일반미용업,미용업,"서울특별시 강남구 도산대로85길 30, 지상1층 138호 (청담동, 청담신원아침도시마인)",서울특별시 강남구 청담동 122-35 청담신원아침도시마인,025495020,1986-02-27,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1987-01664,목화,salon,일반미용업,미용업,"서울특별시 강남구 삼성로135길 41, 지상1층 105호 (청담동)",서울특별시 강남구 청담동 35-1,025444717,1987-06-04,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1988-01624,(주)마끼에,salon,일반미용업,미용업,"서울특별시 강남구 압구정로46길 15, 지상3,4,5층 (신사동)",서울특별시 강남구 신사동 641,025422326,1988-08-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1991-01478,임정숙미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로36길 12 (신사동,지상2층)",서울특별시 강남구 신사동 620-1 지상2층,025172121,1991-05-15,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1991-01498,가로수 헤어,salon,일반미용업,미용업,"서울특별시 강남구 압구정로2길 46, 지상1층 21호 (신사동, ---------)",서울특별시 강남구 신사동 510-11 ---------,025149658,1991-04-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1992-01034,박귀순미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 71 (압구정동,현대아파트상가 지층3-1호)",서울특별시 강남구 압구정동 369-1 현대아파트상가 지층3-1호,025164335,1992-12-16,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1992-01418,고탑헤어,salon,일반미용업,미용업,"서울특별시 강남구 도산대로35길 39, 4층 402호 (신사동)",서울특별시 강남구 신사동 600-6,025181618,1992-10-10,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1992-01515,김희정 컷팅클럽,salon,일반미용업,미용업,서울특별시 강남구 논현로158길 7 (신사동),서울특별시 강남구 신사동 593-8,025444536,1992-05-04,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1993-01343,디바,salon,일반미용업,미용업,"서울특별시 강남구 논현로157길 13 (신사동,지상3층)",서울특별시 강남구 신사동 565-4 지상3층,025478516,1993-12-02,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1993-01404,노승만헤어본,salon,일반미용업,미용업,"서울특별시 강남구 선릉로 844 (청담동,,2호 (201호))","서울특별시 강남구 청담동 78-1 ,2호 (201호)",0205183001,1993-05-21,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1994-01276,쟈끄데샹쥬,salon,일반미용업,미용업,"서울특별시 강남구 논현로175길 38 (신사동,서원빌딩2층)",서울특별시 강남구 신사동 574-4 서원빌딩2층,025172221,1994-12-20,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1994-01320,헤어두,salon,일반미용업,미용업,"서울특별시 강남구 압구정로34길 36, 현대빌딩 1층 103호 (신사동)",서울특별시 강남구 신사동 608-15 현대빌딩,025420010,1994-07-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1995-00906,유사라 미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로32길 11, 캐럴라인타워 지상1층 106호 (신사동)",서울특별시 강남구 신사동 613-5 캐럴라인타워,025446472,1995-11-24,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1996-01138,준오헤어,salon,일반미용업,미용업,"서울특별시 강남구 선릉로 843 (신사동,지상)",서울특별시 강남구 신사동 664-7 지상,025498683,1996-06-05,영업,gangnam-cheongdam,juno-hair-garosugil,PENDING_REVIEW
3220000-204-1996-01161,이화미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 212 (신사동,방우상가 지하1층)",서울특별시 강남구 신사동 614-7 방우상가 지하1층,025496171,1996-04-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1996-01178,미앤끼미용실,salon,일반미용업,미용업,"서울특별시 강남구 논현로175길 59-6, 지상102호 (신사동)",서울특별시 강남구 신사동 550-13,025463697,1996-03-02,영업,gangnam-cheongdam,,PENDING_REVIEW
