관리번호,사업장명,category,업태구분명,위생업태명,도로명주소,지번주소,전화,인허가일자,영업상태,hub,existing_slug,status
3010000-204-1981-00624,두가헤어,salon,일반미용업,미용업,서울특별시 중구 명동10길 31-1 (명동2가),서울특별시 중구 명동2가 25-31,0207561770,1981-04-07,영업,myeongdong,,PENDING_REVIEW
3010000-204-2002-00003,라리엔,salon,일반미용업,미용업,서울특별시 중구 명동길 60 (명동2가),서울특별시 중구 명동2가 2-16 7층,027530902,2002-02-27,영업,myeongdong,,PENDING_REVIEW
3010000-204-2003-00042,아나로,salon,일반미용업,미용업,"서울특별시 중구 을지로44길 12 (광희동1가,금호오피스텔 502)",서울특별시 중구 광희동1가 143-2 금호오피스텔 502,0222695387,2003-08-18,영업,myeongdong,,PENDING_REVIEW
3010000-204-2004-00051,Sanctuary(생크추어리),salon,일반미용업,미용업,"서울특별시 중구 삼일대로 299 (충무로2가, 별관2.3호)",서울특별시 중구 충무로2가 60-3 별관2.3호,027752483,2004-12-16,영업,myeongdong,,PENDING_REVIEW
3010000-204-2006-00023,블루헤어클럽,salon,일반미용업,미용업,서울특별시 중구 소공로 66 (충무로1가),서울특별시 중구 충무로1가 25-11,027786011,2006-07-07,영업,myeongdong,,PENDING_REVIEW
3010000-204-2010-00001,프로뷰티,salon,일반미용업,미용업,"서울특별시 중구 명동8가길 9 (충무로2가, 3층)",서울특별시 중구 충무로2가 66-8 3층,023182789,2010-08-17,영업,myeongdong,,PENDING_REVIEW
3010000-211-1981-00001,리안미용실,salon,일반미용업,일반미용업,서울특별시 중구 명동4길 13 (명동2가),서울특별시 중구 명동2가 54-7,027764440,1981-09-29,영업,myeongdong,,PENDING_REVIEW
3010000-211-1981-00002,보리,salon,일반미용업,일반미용업,서울특별시 중구 명동7길 23 (을지로2가),서울특별시 중구 을지로2가 199-57,027785384,1981-02-25,영업,myeongdong,boboris-total-beauty-salon,PENDING_REVIEW
3010000-211-1983-00002,킴스헤어,salon,일반미용업,일반미용업,서울특별시 중구 명동4길 8 (명동2가),서울특별시 중구 명동2가 55-8,027773005,1983-05-03,영업,myeongdong,,PENDING_REVIEW
3010000-211-1986-00001,라경,salon,일반미용업,일반미용업,,서울특별시 중구 충무로3가 33-4,0222668894,1986-01-31,영업,myeongdong,,PENDING_REVIEW
