관리번호,사업장명,category,업태구분명,위생업태명,도로명주소,지번주소,전화,인허가일자,영업상태,hub,existing_slug,status
3130000-204-1971-01004,미미,salon,일반미용업,미용업,서울특별시 마포구 월드컵북로16길 54 (연남동),서울특별시 마포구 연남동 487-257,023371428,1971-08-13,영업,hongdae,,PENDING_REVIEW
3130000-204-1976-00456,이숙이미용실,salon,일반미용업,미용업,서울특별시 마포구 월드컵북로5나길 15 (서교동),서울특별시 마포구 서교동 451-45,023322572,1976-12-10,영업,hongdae,,PENDING_REVIEW
3130000-204-1979-00993,헤어플러스,salon,일반미용업,미용업,"서울특별시 마포구 홍익로 10, 101동 1층 126호 (서교동, 서교푸르지오아파트)",서울특별시 마포구 서교동 486,023379067,1979-01-22,영업,hongdae,,PENDING_REVIEW
3130000-204-1979-00996,k2 헤어클럽,salon,일반미용업,미용업,"서울특별시 마포구 양화로 56, 103B호 (서교동, 동양한강트레빌 상가1층)",서울특별시 마포구 서교동 394-25 동양한강트레빌 상가1층 103B호,0231420177,1979-05-15,영업,hongdae,,PENDING_REVIEW
3130000-204-1981-00952,예삐헤어쎈스,salon,일반미용업,미용업,서울특별시 마포구 희우정로 29 (합정동),서울특별시 마포구 합정동 398-3,023353785,1981-10-12,영업,hongdae,,PENDING_REVIEW
3130000-204-1983-00388,벧엘,salon,일반미용업,미용업,서울특별시 마포구 월드컵북로7길 26 (서교동),서울특별시 마포구 서교동 247-24,023255306,1983-04-27,영업,hongdae,,PENDING_REVIEW
3130000-204-1987-00803,진,salon,일반미용업,미용업,서울특별시 마포구 신촌로4길 8 (동교동),서울특별시 마포구 동교동 175-1,023331238,1987-04-14,영업,hongdae,,PENDING_REVIEW
3130000-204-1988-00732,새론,salon,일반미용업,미용업,서울특별시 마포구 와우산로3길 13 (상수동),서울특별시 마포구 상수동 341-5,023362431,1988-05-09,영업,hongdae,,PENDING_REVIEW
3130000-204-1989-00709,신은정 헤어,salon,일반미용업,미용업,"서울특별시 마포구 성지3길 41, 501호 (합정동)",서울특별시 마포구 합정동 365-7 501호,023222657,1989-12-05,영업,hongdae,,PENDING_REVIEW
3130000-204-1992-00608,리안헤어,salon,일반미용업,미용업,서울특별시 마포구 홍익로6길 23 (동교동),서울특별시 마포구 동교동 162-2,0203263241,1992-10-23,영업,hongdae,,PENDING_REVIEW
3130000-204-1993-00237,여은미미용실,salon,일반미용업,미용업,"서울특별시 마포구 잔다리로7안길 3, 2층 202호 (서교동)",서울특별시 마포구 서교동 378-1 202호(안쪽),0203378125,1993-05-06,영업,hongdae,,PENDING_REVIEW
3130000-204-1994-00539,행복미용실,salon,일반미용업,미용업,"서울특별시 마포구 성미산로17길 75 (연남동, 1층)",서울특별시 마포구 연남동 487-37 1층,023134110,1994-08-25,영업,hongdae,,PENDING_REVIEW
3130000-204-1994-00566,도로시,salon,일반미용업,미용업,"서울특별시 마포구 와우산로 32, 1층 (상수동)",서울특별시 마포구 상수동 329-6,0203332285,1994-06-21,영업,hongdae,,PENDING_REVIEW
3130000-204-1995-00495,전희진미용실,salon,일반미용업,미용업,서울특별시 마포구 독막로2길 13 (합정동),서울특별시 마포구 합정동 366-2,023244631,1995-05-19,영업,hongdae,,PENDING_REVIEW
3130000-204-1995-00501,수경미용실,salon,일반미용업,미용업,서울특별시 마포구 포은로 56 (합정동),서울특별시 마포구 합정동 433-28,023371318,1995-06-30,영업,hongdae,,PENDING_REVIEW
3130000-204-1996-00486,머리하는걸,salon,일반미용업,미용업,"서울특별시 마포구 동교로 56-1 (합정동,1층)",서울특별시 마포구 합정동 432-4 1층,023328296,1996-01-12,영업,hongdae,,PENDING_REVIEW
3130000-204-1997-00345,하임,salon,일반미용업,미용업,"서울특별시 마포구 동교로 212-7, 2층 (동교동)",서울특별시 마포구 동교동 152-14,023382326,1997-09-05,영업,hongdae,,PENDING_REVIEW
3130000-204-1998-00285,진 미용실,salon,일반미용업,미용업,서울특별시 마포구 성미산로17길 104 (연남동),서울특별시 마포구 연남동 487-226,023382712,1998-06-25,영업,hongdae,,PENDING_REVIEW
3130000-204-1999-01401,선녀미용실,salon,일반미용업,미용업,서울특별시 마포구 월드컵북로7길 8 (서교동),서울특별시 마포구 서교동 247-20,023374966,1999-05-17,영업,hongdae,,PENDING_REVIEW
3130000-204-2000-01466,린다미용실,salon,일반미용업,미용업,"서울특별시 마포구 월드컵북로6길 81, 2동 1층 102호 (연남동)",서울특별시 마포구 연남동 567-20,023351997,2000-06-09,영업,hongdae,,PENDING_REVIEW
3130000-204-2001-01554,김성자미용실,salon,일반미용업,미용업,서울특별시 마포구 동교로27길 78 (연남동),서울특별시 마포구 연남동 561-4,023325433,2001-06-29,영업,hongdae,,PENDING_REVIEW
